position=<-58825,   5905> velocity=< 8, -6>
position=< 50749, -19111> velocity=<-7,  4>
position=< 50995,  -8236> velocity=<-3, -5>
position=< 44611, -17672> velocity=<-8,  1>
position=< 41069, -41189> velocity=<-8,  3>
position=<  9181, -56028> velocity=<-6,  2>
position=<-24979,  38514> velocity=<-2,  1>
position=< 19502,  58516> velocity=<-3, -9>
position=< 58524,   6506> velocity=<-9, -1>
position=<-47781,  14688> velocity=<-1, -3>
position=< 35856, -55746> velocity=<-5,  1>
position=< 32192, -47979> velocity=<-4, -2>
position=<-13265,  31471> velocity=< 3,  3>
position=< 56306,  10806> velocity=<-5, -1>
position=<-19503,  32511> velocity=< 3, -5>
position=< 22246,  36817> velocity=<-1,  3>
position=< -7772, -31949> velocity=<-2,  4>
position=< 19589, -20589> velocity=< 4,  7>
position=<-54247,  48155> velocity=<-1,  2>
position=< 24079,  55028> velocity=< 3, -3>
position=< 58777, -31414> velocity=<-3,  6>
position=<-32516, -39011> velocity=< 5,  6>
position=< 20913,  33406> velocity=< 6, -8>
position=<-15796, -60736> velocity=< 7,  8>
position=<-32255,  25939> velocity=< 7, -6>
position=< 15473,  -6069> velocity=< 6, -8>
position=<-22846,  19127> velocity=< 8, -4>
position=< 32509, -32510> velocity=<-5,  5>
position=< 18583, -31416> velocity=<-9, -4>
position=<-22566, -42627> velocity=< 2,  4>
position=<-29672,   4789> velocity=< 2,  5>
position=< 25833,   8334> velocity=<-6,  3>
position=<-11154, -49512> velocity=<-3,  9>
position=<  9495, -51966> velocity=<-8,  1>
position=<-54989,  43322> velocity=< 1, -6>
position=< 15428,  47223> velocity=< 6, -3>
position=<-58521,  13005> velocity=< 9, -2>
position=< 39007, -52009> velocity=<-6,  8>
position=< 43739,  42860> velocity=<-8, -9>
position=< 33142, -27012> velocity=<-9, -1>
position=< 56206, -16057> velocity=<-3, -6>
position=<-49629,  -3985> velocity=< 1, -3>
position=<-11907, -20262> velocity=<-7, -6>
position=<-43935,  35752> velocity=<-1,  2>
position=< -9221, -53290> velocity=<-8,  1>
position=<-10775, -22586> velocity=< 8, -5>
position=<-11721, -47364> velocity=<-6,  4>
position=<-52019,  39016> velocity=< 8, -6>
position=<-23821,  55997> velocity=< 8, -3>
position=< 11031,   8790> velocity=<-4, -3>
position=<-58515, -19507> velocity=< 9,  3>
position=<-30988, -61189> velocity=<-1,  6>
position=< 12914,  -9847> velocity=<-3,  6>
position=< 38450,  34617> velocity=<-7,  1>
position=< 58520,  39018> velocity=<-9, -6>
position=<-52018, -45510> velocity=< 8,  7>
position=< 58513,  -6504> velocity=<-9,  1>
position=<-61530, -32667> velocity=< 2,  8>
position=<-25900, -13625> velocity=<-3, -4>
position=<-16444, -22955> velocity=< 9,  8>
position=< 11056,  -6366> velocity=<-8,  5>
position=< 45512, -26002> velocity=<-7,  4>
position=< -5289, -17535> velocity=< 4, -4>
position=<-30481,  36940> velocity=< 3, -9>
position=< 41610,  34632> velocity=<-9, -7>
position=<-35549,  48008> velocity=< 9, -8>
position=< 19354,   8751> velocity=< 6, -5>
position=< 13009,  13006> velocity=<-2, -2>
position=<-45507,  -6498> velocity=< 7,  1>
position=< 45508,  45512> velocity=<-7, -7>
position=<-18044,  16913> velocity=< 1,  3>
position=< 49800,  -9063> velocity=<-9, -3>
position=< 12477,  55532> velocity=<-5, -1>
position=< -5227,  12092> velocity=< 4, -3>
position=< 19509,   6508> velocity=<-3, -1>
position=<-34286, -15389> velocity=<-2,  3>
position=<-19509, -45518> velocity=< 3,  7>
position=< 19354, -47283> velocity=< 6,  9>
position=<  6507, -52011> velocity=<-1,  8>
position=< 59544,  45701> velocity=<-6,  1>
position=<-58682, -43405> velocity=< 8, -2>
position=<-13637, -16117> velocity=< 7,  6>
position=<-13010,   6506> velocity=< 2, -1>
position=< 55640, -18328> velocity=<-1,  7>
position=<-19937,  39569> velocity=< 9, -5>
position=< 39006,  13010> velocity=<-6, -2>
position=< -6498, -13004> velocity=< 1,  2>
position=<  7232,  48134> velocity=< 8, -4>
position=< 38636,  13386> velocity=<-3, -4>
position=<-19507, -45521> velocity=< 3,  7>
position=< 35960,  -7991> velocity=< 1,  7>
position=< 32763, -12395> velocity=<-9, -2>
position=< -6495, -39011> velocity=< 1,  6>
position=< 14803, -47427> velocity=<-8, -1>
position=< -5825,  12206> velocity=< 7,  2>
position=< 52022, -19505> velocity=<-8,  3>
position=<  4890,  23382> velocity=<-5,  2>
position=<-13011,  45519> velocity=< 2, -7>
position=< 36477, -37967> velocity=<-4,  9>
position=< -4172, -29243> velocity=<-6,  5>
position=< -8570, -27756> velocity=<-6,  6>
position=<-39014,  39010> velocity=< 6, -6>
position=< 13755, -38154> velocity=<-1,  3>
position=<-47517, -47462> velocity=< 5, -2>
position=< 56772,  36449> velocity=<-5,  1>
position=< 52014, -45513> velocity=<-8,  7>
position=<-13003, -26011> velocity=< 2,  4>
position=<-39350,  33939> velocity=<-3, -9>
position=< 46893,  44909> velocity=<-8, -9>
position=< 13609,  46369> velocity=<-9, -4>
position=< 58549,  15613> velocity=<-5, -5>
